Sl.No.,Name of State/UT,Total,Surfaced,Unnamed: 0,Unnamed: 1
1,2,3,4.0,,
1,,ndhra Pradesh,,5156.0,2202.0
2,,runachal Pradesh,,5282.0,3553.0
3,,ssam,,19142.0,1442.0
4,,ihar,,2559.0,508.0
5,,hhattisgarh,,15666.0,7172.0
6,,oa,,181.0,66.0
7,,ujarat,,12814.0,4948.0
8,,aryana,,589.0,146.0
9,,imachal Pradesh,,3331.0,919.0
10,,ammu And Kashmir,,18702.0,5667.0
11,,harkhand,,11447.0,6046.0
12,,arnataka,,17779.0,7417.0
13,,erala,,8411.0,3795.0
14,,adhya Pradesh,,35100.0,9446.0
15,,aharashtra,,20436.0,7235.0
16,,anipur,,1577.0,1469.0
17,,eghalaya,,985.0,134.0
18,,izoram,,1095.0,857.0
19,,agaland,,1054.0,825.0
20,,disha,,25603.0,9319.0
21,,unjab,,9651.0,2208.0
22,,ajasthan,,9811.0,6044.0
23,,ikkim,,820.0,742.0
24,,amilnadu,,9011.0,5563.0
25,,elangana,,4089.0,2197.0
26,,ripura,,1400.0,53.0
27,,ttarakhand,,18664.0,1841.0
28,,ttar Pradesh,,45448.0,13187.0
29,,est Bengal,,13096.0,4572.0
30,A & N Islands,177,128.0,,
31,Chandigarh,0,0.0,,
32,Dadra  & Nagar Haveli,0,0.0,,
33,Daman & Diu,0,0.0,,
34,Delhi,0,0.0,,
35,Lakshadweep,0,0.0,,
36,Pondichery,34,26.0,,
Total,319109,109727,,,
