Sl.No.,Name of State/UT,Total,Surfaced
1,2,3,4.0
1,Andhra Pradesh *,6485,6381.0
2,Arunachal Pradesh $,8123,4043.0
3,Assam,2530,2180.0
4,Bihar,4253,4253.0
5,Chhattisgarh,4462,4332.0
6,Goa,279,279.0
7,Gujarat,17201,16983.0
8,Haryana,1801,1801.0
9,Himachal Pradesh,1466,1466.0
10,Jammu & Kashmir,130,130.0
11,Jharkhand,1296,1296.0
12,Karnataka,19578,19554.0
13,Kerala,4342,4342.0
14,Madhya Pradesh,10934,10934.0
15,Maharashtra,39000,38134.0
16,Manipur,715,715.0
17,Meghalaya,772,737.0
18,Mizoram,170,170.0
19,Nagaland,722,722.0
20,Odisha,4187,4182.0
21,Punjab,1133,1133.0
22,Rajasthan,15188,15108.0
23,Sikkim,701,701.0
24,Tamil Nadu,11752,11752.0
25,Telangana,2731,2731.0
26,Tripura,329,329.0
27,Uttarakhand,4521,4484.0
28,Uttar Pradesh,7147,7147.0
29,West Bengal,3612,3612.0
30,Andaman & Nicobar  Island,266,266.0
31,Chandigarh,200,200.0
32,Dadra & Nagar Haveli,28,28.0
33,Daman & Diu,22,22.0
34,Delhi,0,0.0
35,Lakshadweep,0,0.0
36,Puducherry,89,89.0
Total,176166,170237,
