Sl.No.,Name of State/UT,"Total Length(6+7)",Surfaced,Un-surfaced,Unnamed: 0,Unnamed: 1
,,,WBM/WMM,BT/CC,Total (4+5),
1,2,3.0,4,5,6,7.0
1,Andhra Pradesh *,6485.0,2,6379,6381,104.0
2,Arunachal Pradesh $,8123.0,1286,2757,4043,4080.0
3,Assam,2530.0,0,2180,2180,350.0
4,Bihar,4253.0,0,4253,4253,0.0
5,Chhattisgarh,4462.0,251,4081,4332,130.0
6,Goa,279.0,6,274,279,0.0
7,Gujarat,17201.0,29,16954,16983,218.0
8,Haryana,1801.0,3,1798,1801,0.0
9,Himachal Pradesh,1466.0,0,1466,1466,0.0
10,Jammu & Kashmir,130.0,0,130,130,0.0
11,Jharkhand,1296.0,0,1296,1296,0.0
12,Karnataka,19578.0,91,19463,19554,24.0
13,Kerala,4342.0,0,4342,4342,0.0
14,Madhya Pradesh,10934.0,0,10934,10934,0.0
15,Maharashtra,39000.0,517,37617,38134,865.0
16,Manipur,715.0,60,655,715,0.0
17,Meghalaya,772.0,52,685,737,35.0
18,Mizoram,170.0,0,170,170,0.0
19,Nagaland,722.0,199,524,722,0.0
20,Odisha,4187.0,13,4169,4182,5.0
21,Punjab,1133.0,0,1133,1133,0.0
22,Rajasthan,15188.0,4,15104,15108,80.0
23,Sikkim,701.0,0,701,701,0.0
24,Tamil Nadu,11752.0,0,11752,11752,0.0
25,Telangana,2731.0,3,2728,2731,0.0
26,Tripura,329.0,0,329,329,0.0
27,Uttarakhand,4521.0,36,4449,4484,37.0
28,Uttar Pradesh,7147.0,0,7147,7147,0.0
29,West Bengal,3612.0,0,3612,3612,0.0
30,"Andaman & NicobarIsland",266.0,0,266,266,0.0
31,Chandigarh,200.0,0,200,200,0.0
32,"Dadra & NagarHaveli",28.0,0,28,28,0.0
33,Daman & Diu,22.0,0,22,22,0.0
34,Delhi,0.0,0,0,0,0.0
35,Lakshadweep,0.0,0,0,0,0.0
36,Puducherry,89.0,0,89,89,0.0
Total,176166,2550.0,167687,170237,5928,
